Date,Labor Force,Labor Force Participation Rate,Employed,Employment Participation Rate,Unemployed,Unemployment Rate,U.S. Rate
Nov-79,"5,482,300",65,"5,170,800",61.3,"311,500",5.7,5.6
Oct-79,"5,491,800",65.1,"5,182,400",61.4,"309,400",5.6,5.6
Sep-79,"5,460,200",64.8,"5,181,700",61.5,"278,500",5.1,5.7
Aug-79,"5,504,500",65.3,"5,217,600",61.9,"287,000",5.2,5.9
Jul-79,"5,560,100",66,"5,268,900",62.6,"291,200",5.2,5.9
Jun-79,"5,526,300",65.6,"5,212,800",61.9,"313,500",5.7,6
May-79,"5,341,000",63.5,"5,087,400",60.5,"253,600",4.7,5.2
Apr-79,"5,359,000",63.7,"5,079,600",60.4,"279,400",5.2,5.5
Mar-79,"5,387,800",64.1,"5,079,400",60.4,"308,400",5.7,6.1
Feb-79,"5,386,300",64.1,"5,054,700",60.2,"331,500",6.2,6.4
Jan-79,"5,375,100",64,"5,056,200",60.2,"318,800",5.9,6.4
Dec-78,"5,441,900",64.8,"5,141,900",61.3,"300,100",5.5,5.7
Nov-78,"5,456,200",65,"5,172,100",61.7,"284,100",5.2,5.6
Oct-78,"5,468,800",65.2,"5,179,200",61.8,"289,600",5.3,5.4
Sep-78,"5,433,300",64.8,"5,129,700",61.2,"303,700",5.6,5.8
Aug-78,"5,500,600",65.7,"5,180,100",61.8,"320,500",5.8,5.9
Jul-78,"5,546,000",66.2,"5,200,100",62.1,"345,900",6.2,6.3
Jun-78,"5,548,300",66.3,"5,201,600",62.2,"346,700",6.2,6.2
May-78,"5,370,000",64.2,"5,063,200",60.6,"306,800",5.7,5.5
Apr-78,"5,349,000",64.1,"5,037,000",60.3,"312,000",5.8,5.8
Mar-78,"5,328,800",63.9,"4,980,200",59.7,"348,600",6.5,6.6
Feb-78,"5,302,700",63.6,"4,941,300",59.3,"361,400",6.8,6.9
Jan-78,"5,328,700",64,"4,950,400",59.4,"378,300",7.1,7.1
Dec-77,"5,353,400",64.3,"5,049,500",60.7,"303,900",5.7,6
Nov-77,"5,374,800",64.6,"5,042,600",60.6,"332,200",6.2,6.5
Oct-77,"5,350,800",64.4,"5,025,500",60.5,"325,300",6.1,6.4
Sep-77,"5,312,500",64,"4,981,200",60,"331,300",6.2,6.6
Aug-77,"5,379,300",64.9,"5,029,700",60.6,"349,700",6.5,6.8
Jul-77,"5,405,700",65.2,"5,061,500",61.1,"344,200",6.4,7
Jun-77,"5,422,000",65.5,"5,043,400",60.9,"378,500",7,7.5
May-77,"5,215,500",63.1,"4,941,600",59.8,"273,900",5.3,6.4
Apr-77,"5,191,800",62.8,"4,903,000",59.4,"288,900",5.6,6.9
Mar-77,"5,166,700",62.6,"4,839,900",58.7,"326,700",6.3,7.9
Feb-77,"5,123,400",62.1,"4,786,400",58.1,"337,000",6.6,8.5
Jan-77,"5,087,100",61.8,"4,758,400",57.8,"328,800",6.5,8.3
Dec-76,"5,180,900",63,"4,851,400",59,"329,500",6.4,7.4
Nov-76,"5,168,100",62.9,"4,849,100",59,"319,000",6.2,7.4
Oct-76,"5,164,600",62.9,"4,847,700",59.1,"317,000",6.1,7.2
Sep-76,"5,140,200",62.7,"4,808,600",58.6,"331,600",6.5,7.4
Aug-76,"5,253,600",64.1,"4,888,500",59.7,"365,100",6.9,7.6
Jul-76,"5,291,300",64.7,"4,934,300",60.3,"357,000",6.7,7.8
Jun-76,"5,257,000",64.3,"4,879,500",59.7,"377,500",7.2,8
May-76,"5,080,100",62.2,"4,802,900",58.8,"277,200",5.5,6.8
Apr-76,"5,082,500",62.3,"4,767,300",58.5,"315,200",6.2,7.4
Mar-76,"5,069,900",62.2,"4,723,600",58,"346,300",6.8,8.1
Feb-76,"5,056,700",62.2,"4,680,000",57.5,"376,800",7.5,8.7
Jan-76,"5,054,900",62.2,"4,669,100",57.5,"385,700",7.6,8.8
